season,team_id,team_abbr,conference,won_finals,is_shortened,is_bubble,season_era,has_reg_season_mvp,pre_finals_wins,pre_finals_losses,pre_finals_win_pct,games_played_pre_finals,avg_point_diff_pre,max_series_length,had_7game_series,rest_days_before_finals,pts_per_game_g4plus,point_diff_g4plus,win_pct_g4plus,largest_lead_g4plus,lead_changes_g4plus,times_tied_g4plus,blown_lead_g4plus,ot_games_g4plus,n_g4plus_games,playoff_off_rating,playoff_def_rating,playoff_net_rating,playoff_ts_pct,playoff_efg_pct,playoff_tov_pct,playoff_oreb_pct,playoff_pace,playoff_pie,star_ppg_weighted,star_ts_weighted,star_usg_weighted,star_momentum,star_ppg_cf,star_is_divergent,star_ppg_pre_finals,star_ppg_trend,reg_win_pct,playoff_seed,reg_pts_pg,reg_opp_pts_pg,reg_diff_pg,reg_net_rating,reg_off_rating,reg_def_rating,reg_pace,clutch_win_pct,clutch_pm,clutch_fg_pct,clutch_tov,finals_appearances_last5,championships_last5,consecutive_finals
2008-09,1610612747,LAL,W,1,0,0,pre2010,0,12,6,0.6667,18,6.61,7,1,-40,101.33,8.22,0.6667,,,,0,0,9,110.3611,103.2222,7.1556,0.5592,0.5147,14.6167,0.2661,93.2222,0.5356,31.22,0.62,0.3004,7.67,34.0,0,31.22,7.67,0.793,1,107.0,99.0,8.0,7.9,109.8,101.9,96.9,0.571,15.0,0.543,6.0,1,0,1
2008-09,1610612753,ORL,E,0,0,0,pre2010,0,12,7,0.6316,19,4.79,7,1,-41,97.6,6.8,0.7,,,,0,0,10,108.9474,103.4737,5.4789,0.5656,0.5233,14.1158,0.2444,89.8858,0.5328,25.59,0.6643,0.2608,4.33,25.83,0,25.59,4.33,0.72,3,101.0,94.0,7.0,7.1,107.2,100.1,94.0,0.538,0.0,0.4,12.0,0,0,0
2009-10,1610612747,LAL,W,1,0,0,pre2010,0,12,4,0.75,16,4.0,6,0,-39,103.71,2.86,0.7143,,,,0,0,7,114.325,110.1875,4.1438,0.5612,0.5236,13.05,0.2892,92.375,0.5248,33.08,0.6205,0.3139,7.0,33.67,0,33.08,7.0,0.695,1,102.0,97.0,5.0,4.9,105.9,101.0,95.3,0.778,14.0,0.39,5.0,2,1,1
2009-10,1610612738,BOS,E,0,0,0,pre2010,0,12,5,0.7059,17,5.29,6,0,-38,97.38,4.88,0.625,,,,0,0,8,105.7706,100.2882,5.4824,0.5515,0.5027,15.2824,0.2353,90.7882,0.5571,22.95,0.6531,0.2379,6.67,24.33,0,22.95,6.67,0.61,4,99.0,96.0,4.0,3.9,105.4,101.5,93.6,0.625,-17.0,0.24,9.0,0,0,0
2010-11,1610612742,DAL,W,1,0,0,post2010,0,12,3,0.8,15,7.13,6,0,-39,102.0,10.5,0.8333,,,,0,0,6,111.5533,104.6067,6.9533,0.5755,0.5235,14.2,0.1325,88.2727,0.5409,29.35,0.6737,0.2918,-0.67,32.2,0,29.35,-0.67,0.695,3,100.0,96.0,4.0,4.5,107.6,103.0,93.1,0.727,55.0,0.489,2.0,0,0,0
2010-11,1610612748,MIA,E,0,0,0,post2010,0,12,3,0.8,15,4.67,5,0,-40,93.0,5.17,0.8333,,,,0,0,6,105.6333,100.3867,5.2533,0.5437,0.4799,15.4333,0.2472,86.8373,0.5514,27.41,0.5741,0.2911,3.67,25.8,0,27.41,3.67,0.707,2,102.0,95.0,7.0,8.0,109.3,101.3,92.9,0.889,43.0,0.46,8.0,0,0,0
2011-12,1610612748,MIA,E,1,1,0,post2010,1,12,6,0.6667,18,7.94,7,1,-42,99.33,9.78,0.6667,,,,0,0,9,107.7722,99.1556,8.6,0.5472,0.5034,14.6444,0.2669,88.0572,0.5697,33.36,0.5895,0.3373,7.67,33.57,0,33.36,7.67,0.697,2,98.0,93.0,6.0,6.3,104.3,98.0,93.2,0.5,12.0,0.364,5.0,1,0,0
2011-12,1610612760,OKC,W,0,1,0,post2010,0,12,3,0.8,15,6.67,6,0,-39,106.0,7.33,1.0,,,,0,0,6,110.7533,103.36,7.4133,0.5655,0.5131,12.3667,0.2343,92.4333,0.5557,29.62,0.6613,0.2648,5.0,29.5,0,29.62,5.0,0.712,2,103.0,97.0,6.0,6.4,107.1,100.8,95.3,0.8,15.0,0.475,8.0,0,0,0
2012-13,1610612748,MIA,E,1,0,0,post2010,1,12,4,0.75,16,9.56,7,1,-43,89.71,7.14,0.7143,,,,0,0,7,110.1812,99.7125,10.4875,0.5668,0.5208,15.1125,0.2247,87.4875,0.5765,28.43,0.6078,0.3031,7.67,29.0,0,28.43,7.67,0.805,1,103.0,95.0,8.0,8.4,110.3,101.9,92.3,0.5,-8.0,0.391,12.0,2,1,0
2012-13,1610612759,SAS,W,0,0,0,post2010,0,12,2,0.8571,14,10.14,6,0,-36,97.2,9.6,0.8,,,,0,0,5,107.8429,96.4571,11.3714,0.5514,0.5161,12.7214,0.1967,91.1821,0.5794,24.64,0.5718,0.3149,4.0,24.5,0,24.64,4.0,0.707,2,103.0,97.0,6.0,6.6,105.9,99.4,96.3,0.857,14.0,0.475,11.0,0,0,0
2013-14,1610612759,SAS,W,1,0,0,post2010,0,12,6,0.6667,18,8.0,7,1,-41,105.44,6.89,0.6667,,,,0,0,9,111.7222,103.1333,8.5944,0.5714,0.534,12.8667,0.2065,94.9367,0.5581,17.05,0.5481,0.2323,-3.33,17.83,0,17.05,-3.33,0.756,1,105.0,98.0,8.0,7.9,108.2,100.3,97.0,0.667,15.0,0.417,5.0,1,0,0
2013-14,1610612748,MIA,E,0,0,0,post2010,0,12,3,0.8,15,7.0,6,0,-40,102.67,8.83,0.8333,,,,0,0,6,114.94,106.34,8.6133,0.6024,0.5615,12.7,0.1671,86.4667,0.5525,23.97,0.6326,0.3025,-8.33,22.83,0,23.97,-8.33,0.659,2,102.0,97.0,5.0,5.1,109.0,104.0,92.8,0.8,25.0,0.593,6.0,3,2,0
2014-15,1610612744,GSW,W,1,0,0,post2010,1,12,3,0.8,15,8.07,6,0,-34,105.83,10.33,0.8333,,,,0,0,6,108.0333,99.3,8.72,0.5571,0.5299,15.86,0.2255,96.0127,0.5456,29.1,0.6307,0.2886,-2.33,31.2,0,29.1,-2.33,0.817,1,110.0,100.0,10.0,10.1,109.7,99.6,100.0,0.833,15.0,0.375,5.0,0,0,0
2014-15,1610612739,CLE,E,0,0,0,post2010,0,12,2,0.8571,14,8.79,6,0,-33,101.0,13.2,1.0,,,,0,0,5,111.0429,101.0857,9.95,0.5437,0.4989,13.5,0.3201,90.7736,0.556,28.34,0.494,0.3702,3.0,30.25,0,28.34,3.0,0.646,2,103.0,99.0,4.0,4.7,107.7,103.1,95.2,0.75,12.0,0.45,8.0,0,0,0
2015-16,1610612739,CLE,E,1,0,0,modern,0,12,2,0.8571,14,12.64,6,0,-33,105.6,12.2,0.8,,,,0,0,5,117.9429,104.2643,13.6714,0.5909,0.5653,12.7214,0.2794,90.6429,0.5759,26.37,0.6446,0.2907,5.33,26.0,0,26.37,5.33,0.695,1,104.0,98.0,6.0,6.2,108.1,101.9,95.7,0.857,13.0,0.386,8.0,1,0,0
2015-16,1610612744,GSW,W,0,0,0,modern,1,12,5,0.7059,17,6.41,7,1,-36,113.75,8.88,0.875,,,,0,0,8,110.7647,103.9471,6.8353,0.5684,0.5356,13.8706,0.2239,99.8112,0.5564,29.67,0.6231,0.3059,9.33,27.86,0,29.67,9.33,0.89,1,115.0,104.0,11.0,10.5,112.5,102.0,101.1,0.75,34.0,0.508,7.0,1,1,0
2016-17,1610612744,GSW,W,1,0,0,modern,0,12,0,1.0,12,16.33,4,0,10,126.0,21.67,1.0,,,,0,0,3,117.1667,101.5667,15.6167,0.6137,0.5729,13.5167,0.1925,100.6667,0.6073,29.66,0.717,0.2982,1.33,31.5,0,29.66,1.33,0.817,1,116.0,104.0,12.0,11.4,113.2,101.8,101.9,1.0,17.0,0.667,2.0,2,1,0
2016-17,1610612739,CLE,E,0,0,0,modern,0,12,1,0.9231,13,13.62,5,0,7,115.5,14.25,1.0,,,,0,0,4,122.1077,108.4846,13.6154,0.6355,0.5993,13.5,0.2588,95.4231,0.5701,31.22,0.6593,0.3173,-6.0,29.6,0,31.22,-6.0,0.622,2,110.0,107.0,3.0,3.2,110.9,107.7,98.5,0.833,15.0,0.371,6.0,2,1,0
2017-18,1610612744,GSW,W,1,0,0,modern,0,12,5,0.7059,17,8.82,7,1,-36,102.75,7.62,0.625,,,,0,0,8,110.3824,101.2765,9.1059,0.5733,0.5361,13.7412,0.253,98.9412,0.5647,29.35,0.5871,0.3004,1.33,30.43,0,29.35,1.33,0.707,2,113.0,107.0,6.0,5.9,112.3,106.4,100.8,0.4,-6.0,0.263,3.0,3,2,0
2017-18,1610612739,CLE,E,0,0,0,modern,0,12,6,0.6667,18,1.22,7,1,-35,101.33,2.89,0.7778,,,,0,0,9,108.9056,108.4444,0.4556,0.5631,0.5256,13.8222,0.2619,92.0117,0.5022,35.35,0.6151,0.3734,3.0,33.57,0,35.35,3.0,0.61,4,111.0,110.0,1.0,0.9,110.6,109.6,100.0,0.875,34.0,0.415,5.0,3,1,0
2018-19,1610612761,TOR,E,1,0,0,modern,0,12,6,0.6667,18,5.39,7,1,-42,107.33,11.44,0.8889,,,,0,0,9,108.2667,102.5,5.7556,0.5561,0.5136,12.15,0.2229,95.9894,0.5256,30.17,0.5795,0.3214,1.0,29.83,0,30.17,1.0,0.707,2,114.0,108.0,6.0,5.9,110.9,105.0,102.2,0.667,11.0,0.408,13.0,0,0,0
2018-19,1610612744,GSW,W,0,0,0,modern,0,12,4,0.75,16,6.75,6,0,-37,116.0,3.86,0.7143,,,,0,0,7,116.4375,110.2062,6.2375,0.5966,0.5565,14.1125,0.3006,99.2331,0.558,32.916,0.6262,0.3103,7.33,36.5,1,33.63,7.33,0.695,1,118.0,111.0,6.0,6.3,113.9,107.7,102.6,0.6,20.0,0.374,11.0,4,3,0
2019-20,1610612747,LAL,W,1,0,1,modern,0,12,3,0.8,15,7.4,5,0,-39,121.0,13.0,1.0,,,,0,0,6,115.6733,107.9267,7.7667,0.6021,0.5689,16.0733,0.2947,98.7,0.5591,29.05,0.6789,0.2758,0.0,31.2,0,29.05,0.0,0.732,1,113.0,108.0,6.0,5.6,109.6,104.0,103.2,0.714,4.0,0.333,5.0,0,0,0
2019-20,1610612748,MIA,E,0,0,1,modern,0,12,3,0.8,15,5.0,6,0,-40,110.33,3.33,0.6667,,,,0,0,6,113.42,108.7733,4.6267,0.5905,0.5409,13.6333,0.2561,97.4267,0.5375,21.6,0.6687,0.212,6.33,21.83,0,21.6,6.33,0.603,5,112.0,109.0,3.0,2.9,110.0,107.1,100.6,0.818,46.0,0.507,11.0,0,0,0
2020-21,1610612749,MIL,E,1,0,0,modern,0,12,5,0.7059,17,6.12,7,1,-37,110.38,5.12,0.75,,,,0,0,8,111.2824,105.2824,6.0059,0.5469,0.5216,13.4118,0.3078,97.6188,0.5367,27.41,0.6113,0.2935,-0.67,26.5,0,27.41,-0.67,0.639,3,120.0,114.0,6.0,5.6,114.7,109.1,104.4,0.667,13.0,0.431,5.0,0,0,0
2020-21,1610612756,PHX,W,0,0,0,modern,0,12,4,0.75,16,7.0,6,0,-34,109.86,10.71,0.8571,,,,0,0,7,113.65,106.8062,6.8438,0.5835,0.5437,12.0375,0.2366,95.625,0.5568,25.55,0.5038,0.3151,-2.0,25.5,0,25.55,-2.0,0.708,2,115.0,109.0,6.0,5.8,114.9,109.1,99.2,0.8,-1.0,0.429,5.0,0,0,0
2021-22,1610612744,GSW,W,1,0,0,modern,0,12,4,0.75,16,5.44,6,0,-25,108.29,-3.29,0.5714,,,,0,0,7,116.3375,111.0062,5.325,0.603,0.5756,14.9375,0.276,98.4375,0.5401,23.46,0.5613,0.2792,-3.67,23.8,0,23.46,-3.67,0.646,3,111.0,105.0,6.0,5.5,110.5,104.9,100.2,0.714,11.0,0.5,6.0,0,0,0
2021-22,1610612738,BOS,E,0,0,0,modern,0,12,6,0.6667,18,6.11,7,1,-28,106.0,8.78,0.7778,,,,0,0,9,111.9833,105.1667,6.8,0.5819,0.5365,14.6278,0.2622,95.9167,0.5447,26.17,0.6343,0.275,-3.67,25.0,0,26.17,-3.67,0.622,2,112.0,104.0,7.0,7.3,112.1,104.8,98.6,0.6,3.0,0.372,8.0,0,0,0
2022-23,1610612743,DEN,W,1,0,0,modern,1,12,3,0.8,15,8.33,6,0,-36,116.67,5.83,0.6667,,,,0,0,6,119.8,111.7533,8.02,0.5961,0.5596,11.7133,0.2977,96.3647,0.5472,29.511,0.6171,0.2782,5.67,32.5,1,29.7,5.67,0.646,1,116.0,112.0,3.0,3.3,115.0,111.7,100.3,0.7,9.0,0.479,9.0,0,0,0
2022-23,1610612748,MIA,E,0,0,0,modern,0,12,6,0.6667,18,4.22,7,1,-43,106.33,-0.22,0.5556,,,,0,0,9,115.9444,111.45,4.4944,0.5854,0.5496,12.8556,0.2724,95.7083,0.5234,24.6,0.5152,0.2809,-8.0,24.71,0,24.6,-8.0,0.537,7,109.0,110.0,0.0,-0.3,110.4,110.7,98.5,0.667,23.0,0.482,6.0,0,0,0
2023-24,1610612738,BOS,E,1,0,0,modern,0,12,2,0.8571,14,10.07,5,0,-36,109.4,14.6,1.0,,,,0,0,5,119.6714,108.6071,11.0571,0.6004,0.5683,12.3143,0.295,92.3879,0.5566,28.47,0.5681,0.2848,4.0,30.25,0,28.47,4.0,0.78,1,121.0,109.0,11.0,11.3,120.2,108.9,99.6,1.0,18.0,0.444,5.0,0,0,0
2023-24,1610612742,DAL,W,0,0,0,modern,0,12,5,0.7059,17,4.06,6,0,-39,111.12,7.88,0.625,,,,0,0,8,115.2059,111.0471,4.1471,0.5802,0.5485,13.7294,0.3069,93.6176,0.5208,30.9,0.6351,0.3153,3.33,32.4,0,30.9,3.33,0.61,5,118.0,116.0,2.0,2.2,115.2,113.0,102.2,0.667,6.0,0.453,12.0,0,0,0
