season,winner,loser,winner_conf,is_shortened,is_bubble,season_era,diff_has_reg_season_mvp,diff_pre_finals_wins,diff_pre_finals_losses,diff_pre_finals_win_pct,diff_games_played_pre_finals,diff_avg_point_diff_pre,diff_max_series_length,diff_had_7game_series,diff_rest_days_before_finals,diff_pts_per_game_g4plus,diff_point_diff_g4plus,diff_win_pct_g4plus,diff_blown_lead_g4plus,diff_ot_games_g4plus,diff_n_g4plus_games,diff_playoff_off_rating,diff_playoff_def_rating,diff_playoff_net_rating,diff_playoff_ts_pct,diff_playoff_efg_pct,diff_playoff_tov_pct,diff_playoff_oreb_pct,diff_playoff_pace,diff_playoff_pie,diff_star_ppg_weighted,diff_star_ts_weighted,diff_star_usg_weighted,diff_star_momentum,diff_star_ppg_cf,diff_star_is_divergent,diff_star_ppg_pre_finals,diff_star_ppg_trend,diff_reg_win_pct,diff_playoff_seed,diff_reg_pts_pg,diff_reg_opp_pts_pg,diff_reg_diff_pg,diff_reg_net_rating,diff_reg_off_rating,diff_reg_def_rating,diff_reg_pace,diff_clutch_win_pct,diff_clutch_pm,diff_clutch_fg_pct,diff_clutch_tov,diff_finals_appearances_last5,diff_championships_last5,diff_consecutive_finals
2013-14,SAS,MIA,W,0,0,post2010,0.0,0.0,3.0,-0.1333,3.0,1.0,1.0,1.0,-1.0,2.77,-1.94,-0.1666,0.0,0.0,3.0,-3.2178,-3.2067,-0.0189,-0.031,-0.0275,0.1667,0.0394,8.47,0.0056,-6.92,-0.0845,-0.0702,5.0,-5.0,0.0,-6.92,5.0,0.097,-1.0,3.0,1.0,3.0,2.8,-0.8,-3.7,4.2,-0.133,-10.0,-0.176,-1.0,-2.0,-2.0,0.0
2014-15,GSW,CLE,W,0,0,post2010,1.0,0.0,1.0,-0.0571,1.0,-0.72,0.0,0.0,-1.0,4.83,-2.87,-0.1667,0.0,0.0,1.0,-3.0096,-1.7857,-1.23,0.0134,0.031,2.36,-0.0946,5.2391,-0.0104,0.76,0.1367,-0.0816,-5.33,0.95,0.0,0.76,-5.33,0.171,-1.0,7.0,1.0,6.0,5.4,2.0,-3.5,4.8,0.083,3.0,-0.075,-3.0,0.0,0.0,0.0
2015-16,CLE,GSW,E,0,0,modern,-1.0,0.0,-3.0,0.1512,-3.0,6.23,-1.0,-1.0,3.0,-8.15,3.32,-0.075,0.0,0.0,-3.0,7.1782,0.3172,6.8361,0.0225,0.0297,-1.1492,0.0555,-9.1683,0.0195,-3.3,0.0215,-0.0152,-4.0,-1.86,0.0,-3.3,-4.0,-0.195,0.0,-11.0,-6.0,-5.0,-4.3,-4.4,-0.1,-5.4,0.107,-21.0,-0.122,1.0,0.0,-1.0,0.0
2016-17,GSW,CLE,W,0,0,modern,0.0,0.0,-1.0,0.0769,-1.0,2.71,-1.0,0.0,3.0,10.5,7.42,0.0,0.0,0.0,-1.0,-4.941,-6.9179,2.0013,-0.0218,-0.0264,0.0167,-0.0663,5.2436,0.0372,-1.56,0.0577,-0.0191,7.33,1.9,0.0,-1.56,7.33,0.195,-1.0,6.0,-3.0,9.0,8.2,2.3,-5.9,3.4,0.167,2.0,0.296,-4.0,0.0,0.0,0.0
2017-18,GSW,CLE,W,0,0,modern,0.0,0.0,-1.0,0.0392,-1.0,7.6,0.0,0.0,-1.0,1.42,4.73,-0.1528,0.0,0.0,-1.0,1.4768,-7.1679,8.6503,0.0102,0.0105,-0.081,-0.0089,6.9295,0.0625,-6.0,-0.028,-0.073,-1.67,-3.14,0.0,-6.0,-1.67,0.097,-2.0,2.0,-3.0,5.0,5.0,1.7,-3.2,0.8,-0.475,-40.0,-0.152,-2.0,0.0,1.0,0.0
2018-19,TOR,GSW,E,0,0,modern,0.0,0.0,2.0,-0.0833,2.0,-1.36,1.0,1.0,-5.0,-8.67,7.58,0.1746,0.0,0.0,2.0,-8.1708,-7.7062,-0.4819,-0.0405,-0.0429,-1.9625,-0.0777,-3.2437,-0.0324,-2.746,-0.0467,0.0111,-6.33,-6.67,-1.0,-3.46,-6.33,0.012,1.0,-4.0,-3.0,0.0,-0.4,-3.0,-2.7,-0.4,0.067,-9.0,0.034,2.0,-4.0,-3.0,0.0
2019-20,LAL,MIA,W,0,1,modern,0.0,0.0,0.0,0.0,0.0,2.4,-1.0,0.0,1.0,10.67,9.67,0.3333,0.0,0.0,0.0,2.2533,-0.8466,3.14,0.0116,0.028,2.44,0.0386,1.2733,0.0216,7.45,0.0102,0.0638,-6.33,9.37,0.0,7.45,-6.33,0.129,-4.0,1.0,-1.0,3.0,2.7,-0.4,-3.1,2.6,-0.104,-42.0,-0.174,-6.0,0.0,0.0,0.0
2020-21,MIL,PHX,E,0,0,modern,0.0,0.0,1.0,-0.0441,1.0,-0.88,1.0,1.0,-3.0,0.52,-5.59,-0.1071,0.0,0.0,1.0,-2.3676,-1.5238,-0.8379,-0.0366,-0.0221,1.3743,0.0712,1.9938,-0.0201,1.86,0.1075,-0.0216,1.33,1.0,0.0,1.86,1.33,-0.069,1.0,5.0,5.0,0.0,-0.2,-0.2,0.0,5.2,-0.133,14.0,0.002,0.0,0.0,0.0,0.0
2021-22,GSW,BOS,W,0,0,modern,0.0,0.0,-2.0,0.0833,-2.0,-0.67,-1.0,-1.0,3.0,2.29,-12.07,-0.2064,0.0,0.0,-2.0,4.3542,5.8395,-1.475,0.0211,0.0391,0.3097,0.0138,2.5208,-0.0046,-2.71,-0.073,0.0042,0.0,-1.2,0.0,-2.71,0.0,0.024,1.0,-1.0,1.0,-1.0,-1.8,-1.6,0.1,1.6,0.114,8.0,0.128,-2.0,0.0,0.0,0.0
2022-23,DEN,MIA,W,0,0,modern,1.0,0.0,-3.0,0.1333,-3.0,4.11,-1.0,-1.0,7.0,10.34,6.05,0.1111,0.0,0.0,-3.0,3.8556,0.3033,3.5256,0.0107,0.01,-1.1423,0.0253,0.6564,0.0238,4.911,0.1019,-0.0027,13.67,7.79,1.0,5.1,13.67,0.109,-6.0,7.0,2.0,3.0,3.6,4.6,1.0,1.8,0.033,-14.0,-0.003,3.0,0.0,0.0,0.0
2023-24,BOS,DAL,E,0,0,modern,0.0,0.0,-3.0,0.1512,-3.0,6.01,-1.0,0.0,3.0,-1.72,6.72,0.375,0.0,0.0,-3.0,4.4655,-2.44,6.91,0.0202,0.0198,-1.4151,-0.0119,-1.2297,0.0358,-2.43,-0.067,-0.0305,0.67,-2.15,0.0,-2.43,0.67,0.17,-4.0,3.0,-7.0,9.0,9.1,5.0,-4.1,-2.6,0.333,12.0,-0.009,-7.0,0.0,0.0,0.0
